variety_id,variety_slug,category,usda_zone,indoor_sow_start,indoor_sow_end,outdoor_transplant_start,outdoor_transplant_end,direct_sow_start,direct_sow_end,harvest_start,harvest_end
831,stella-cherry,fruit-tree,7,,,May,June,,,July,October
831,stella-cherry,fruit-tree,8,,,April,June,,,June,November
832,gala-apple,fruit-tree,4,,,June,July,,,September,September
832,gala-apple,fruit-tree,5,,,May,July,,,August,October
832,gala-apple,fruit-tree,6,,,May,July,,,August,October
832,gala-apple,fruit-tree,7,,,May,June,,,July,October
832,gala-apple,fruit-tree,8,,,April,June,,,July,November
832,gala-apple,fruit-tree,9,,,March,May,,,June,December
834,red-delicious-apple,fruit-tree,4,,,June,July,,,September,September
834,red-delicious-apple,fruit-tree,5,,,May,July,,,August,October
834,red-delicious-apple,fruit-tree,6,,,May,July,,,August,October
834,red-delicious-apple,fruit-tree,7,,,May,June,,,July,October
834,red-delicious-apple,fruit-tree,8,,,April,June,,,July,November
834,red-delicious-apple,fruit-tree,9,,,March,May,,,June,December
836,montmorency-sour-cherry,fruit-tree,3,,,June,August,,,August,September
836,montmorency-sour-cherry,fruit-tree,4,,,June,July,,,August,September
836,montmorency-sour-cherry,fruit-tree,5,,,May,July,,,August,October
836,montmorency-sour-cherry,fruit-tree,6,,,May,July,,,July,October
836,montmorency-sour-cherry,fruit-tree,7,,,May,June,,,July,October
836,montmorency-sour-cherry,fruit-tree,8,,,April,June,,,June,November
837,granny-smith-apple,fruit-tree,4,,,June,July,,,September,September
837,granny-smith-apple,fruit-tree,5,,,May,July,,,September,October
837,granny-smith-apple,fruit-tree,6,,,May,July,,,August,October
837,granny-smith-apple,fruit-tree,7,,,May,June,,,August,October
837,granny-smith-apple,fruit-tree,8,,,April,June,,,July,November
837,granny-smith-apple,fruit-tree,9,,,March,May,,,June,December
839,freestone-peach,fruit-tree,5,,,May,July,,,August,October
839,freestone-peach,fruit-tree,6,,,May,July,,,August,October
839,freestone-peach,fruit-tree,7,,,May,June,,,July,October
839,freestone-peach,fruit-tree,8,,,April,June,,,July,November
839,freestone-peach,fruit-tree,9,,,March,May,,,June,December
841,chicago-hardy-fig,fruit-tree,7,,,May,June,,,July,October
841,chicago-hardy-fig,fruit-tree,8,,,April,June,,,July,November
841,chicago-hardy-fig,fruit-tree,9,,,March,May,,,June,December
841,chicago-hardy-fig,fruit-tree,10,,,March,April,,,May,December
842,anna-apple,fruit-tree,4,,,June,July,,,August,September
842,anna-apple,fruit-tree,5,,,May,July,,,August,October
842,anna-apple,fruit-tree,6,,,May,July,,,July,October
842,anna-apple,fruit-tree,7,,,May,June,,,July,October
842,anna-apple,fruit-tree,8,,,April,June,,,June,November
842,anna-apple,fruit-tree,9,,,March,May,,,May,December
844,black-mission-fig,fruit-tree,7,,,May,June,,,June,October
844,black-mission-fig,fruit-tree,8,,,April,June,,,June,November
844,black-mission-fig,fruit-tree,9,,,March,May,,,June,December
844,black-mission-fig,fruit-tree,10,,,March,April,,,June,December
845,burgundy-plum,fruit-tree,5,,,May,July,,,August,October
845,burgundy-plum,fruit-tree,6,,,May,July,,,August,October
845,burgundy-plum,fruit-tree,7,,,May,June,,,July,October
845,burgundy-plum,fruit-tree,8,,,April,June,,,July,November
848,wonderful-pomegranate,fruit-tree,8,,,April,June,,,July,November
848,wonderful-pomegranate,fruit-tree,9,,,March,May,,,June,December
848,wonderful-pomegranate,fruit-tree,10,,,March,April,,,June,December
850,stark-saturn-peach,fruit-tree,5,,,May,July,,,August,October
850,stark-saturn-peach,fruit-tree,6,,,May,July,,,July,October
850,stark-saturn-peach,fruit-tree,7,,,May,June,,,July,October
850,stark-saturn-peach,fruit-tree,8,,,April,June,,,June,November
850,stark-saturn-peach,fruit-tree,9,,,March,May,,,May,December
851,early-harvest-apple,fruit-tree,4,,,June,July,,,August,September
851,early-harvest-apple,fruit-tree,5,,,May,July,,,August,October
851,early-harvest-apple,fruit-tree,6,,,May,July,,,August,October
851,early-harvest-apple,fruit-tree,7,,,May,June,,,July,October
851,early-harvest-apple,fruit-tree,8,,,April,June,,,July,November
851,early-harvest-apple,fruit-tree,9,,,March,May,,,June,December
852,golden-delicious-apple,fruit-tree,4,,,June,July,,,September,September
852,golden-delicious-apple,fruit-tree,5,,,May,July,,,August,October
852,golden-delicious-apple,fruit-tree,6,,,May,July,,,August,October
852,golden-delicious-apple,fruit-tree,7,,,May,June,,,July,October
852,golden-delicious-apple,fruit-tree,8,,,April,June,,,July,November
852,golden-delicious-apple,fruit-tree,9,,,March,May,,,June,December
853,elberta-peach,fruit-tree,5,,,May,July,,,August,October
853,elberta-peach,fruit-tree,6,,,May,July,,,August,October
853,elberta-peach,fruit-tree,7,,,May,June,,,July,October
853,elberta-peach,fruit-tree,8,,,April,June,,,July,November
853,elberta-peach,fruit-tree,9,,,March,May,,,June,December
854,italian-prune-plum,fruit-tree,4,,,June,July,,,August,September
854,italian-prune-plum,fruit-tree,5,,,May,July,,,August,October
854,italian-prune-plum,fruit-tree,6,,,May,July,,,August,October
854,italian-prune-plum,fruit-tree,7,,,May,June,,,July,October
854,italian-prune-plum,fruit-tree,8,,,April,June,,,July,November
854,italian-prune-plum,fruit-tree,9,,,March,May,,,June,December
856,seckel-pear,fruit-tree,4,,,June,July,,,September,September
856,seckel-pear,fruit-tree,5,,,May,July,,,August,October
856,seckel-pear,fruit-tree,6,,,May,July,,,August,October
856,seckel-pear,fruit-tree,7,,,May,June,,,July,October
856,seckel-pear,fruit-tree,8,,,April,June,,,July,November
857,dwarf-alberta-peach,fruit-tree,5,,,May,July,,,August,October
857,dwarf-alberta-peach,fruit-tree,6,,,May,July,,,August,October
857,dwarf-alberta-peach,fruit-tree,7,,,May,June,,,July,October
857,dwarf-alberta-peach,fruit-tree,8,,,April,June,,,July,November
857,dwarf-alberta-peach,fruit-tree,9,,,March,May,,,June,December
858,kieffer-pear,fruit-tree,4,,,June,July,,,September,September
858,kieffer-pear,fruit-tree,5,,,May,July,,,August,October
858,kieffer-pear,fruit-tree,6,,,May,July,,,August,October
858,kieffer-pear,fruit-tree,7,,,May,June,,,August,October
858,kieffer-pear,fruit-tree,8,,,April,June,,,July,November
859,pink-lady-apple,fruit-tree,4,,,June,July,,,September,September
859,pink-lady-apple,fruit-tree,5,,,May,July,,,September,October
859,pink-lady-apple,fruit-tree,6,,,May,July,,,September,October
859,pink-lady-apple,fruit-tree,7,,,May,June,,,August,October
859,pink-lady-apple,fruit-tree,8,,,April,June,,,August,November
859,pink-lady-apple,fruit-tree,9,,,March,May,,,July,December
860,santa-rosa-plum,fruit-tree,5,,,May,July,,,August,October
860,santa-rosa-plum,fruit-tree,6,,,May,July,,,August,October
860,santa-rosa-plum,fruit-tree,7,,,May,June,,,July,October
860,santa-rosa-plum,fruit-tree,8,,,April,June,,,July,November
861,liberty-apple,fruit-tree,4,,,June,July,,,September,September
861,liberty-apple,fruit-tree,5,,,May,July,,,August,October
861,liberty-apple,fruit-tree,6,,,May,July,,,August,October
861,liberty-apple,fruit-tree,7,,,May,June,,,July,October
861,liberty-apple,fruit-tree,8,,,April,June,,,July,November
861,liberty-apple,fruit-tree,9,,,March,May,,,June,December
867,dwarf-red-delicious-apple,fruit-tree,4,,,June,July,,,June,September
867,dwarf-red-delicious-apple,fruit-tree,5,,,May,July,,,June,October
867,dwarf-red-delicious-apple,fruit-tree,6,,,May,July,,,June,October
867,dwarf-red-delicious-apple,fruit-tree,7,,,May,June,,,June,October
867,dwarf-red-delicious-apple,fruit-tree,8,,,April,June,,,June,November
867,dwarf-red-delicious-apple,fruit-tree,9,,,March,May,,,June,December
869,emerald-beaut-plum,fruit-tree,5,,,May,July,,,June,October
869,emerald-beaut-plum,fruit-tree,6,,,May,July,,,June,October
869,emerald-beaut-plum,fruit-tree,7,,,May,June,,,June,October
869,emerald-beaut-plum,fruit-tree,8,,,April,June,,,June,November
871,dorsett-golden-apple,fruit-tree,4,,,June,July,,,June,September
871,dorsett-golden-apple,fruit-tree,5,,,May,July,,,June,October
871,dorsett-golden-apple,fruit-tree,6,,,May,July,,,June,October
871,dorsett-golden-apple,fruit-tree,7,,,May,June,,,June,October
871,dorsett-golden-apple,fruit-tree,8,,,April,June,,,June,November
871,dorsett-golden-apple,fruit-tree,9,,,March,May,,,June,December
873,moonflower,flower,1,May,June,July,August,July,September,,
873,moonflower,flower,2,April,May,June,July,June,August,,
873,moonflower,flower,3,April,May,June,July,June,August,,
873,moonflower,flower,4,March,April,June,June,June,July,,
873,moonflower,flower,5,March,April,May,June,May,July,,
873,moonflower,flower,6,March,April,May,June,May,July,,
873,moonflower,flower,7,February,March,April,May,April,June,,
873,moonflower,flower,8,February,March,April,May,April,June,,
873,moonflower,flower,9,January,February,March,April,March,May,,
873,moonflower,flower,10,January,January,February,March,February,April,,
873,moonflower,flower,11,January,January,January,February,January,March,,
873,moonflower,flower,12,January,January,January,February,January,March,,
873,moonflower,flower,13,January,January,January,February,January,March,,
874,black-eyed-susan,flower,1,May,June,July,August,July,September,,
874,black-eyed-susan,flower,2,April,May,June,July,June,August,,
874,black-eyed-susan,flower,3,April,May,June,July,June,August,,
874,black-eyed-susan,flower,4,March,April,June,June,June,July,,
874,black-eyed-susan,flower,5,March,April,May,June,May,July,,
874,black-eyed-susan,flower,6,March,April,May,June,May,July,,
874,black-eyed-susan,flower,7,February,March,April,May,April,June,,
874,black-eyed-susan,flower,8,February,March,April,May,April,June,,
874,black-eyed-susan,flower,9,January,February,March,April,March,May,,
874,black-eyed-susan,flower,10,January,January,February,March,February,April,,
874,black-eyed-susan,flower,11,January,January,January,February,January,March,,
874,black-eyed-susan,flower,12,January,January,January,February,January,March,,
874,black-eyed-susan,flower,13,January,January,January,February,January,March,,
875,celosia-red-chief,flower,1,May,June,July,August,July,September,,
875,celosia-red-chief,flower,2,April,May,June,July,June,August,,
875,celosia-red-chief,flower,3,April,May,June,July,June,August,,
875,celosia-red-chief,flower,4,March,April,June,June,June,July,,
875,celosia-red-chief,flower,5,March,April,May,June,May,July,,
875,celosia-red-chief,flower,6,March,April,May,June,May,July,,
875,celosia-red-chief,flower,7,February,March,April,May,April,June,,
875,celosia-red-chief,flower,8,February,March,April,May,April,June,,
875,celosia-red-chief,flower,9,January,February,March,April,March,May,,
875,celosia-red-chief,flower,10,January,January,February,March,February,April,,
875,celosia-red-chief,flower,11,January,January,January,February,January,March,,
875,celosia-red-chief,flower,12,January,January,January,February,January,March,,
875,celosia-red-chief,flower,13,January,January,January,February,January,March,,
876,cosmos-sensation-mix,flower,1,May,June,July,August,July,September,,
876,cosmos-sensation-mix,flower,2,April,May,June,July,June,August,,
876,cosmos-sensation-mix,flower,3,April,May,June,July,June,August,,
876,cosmos-sensation-mix,flower,4,March,April,June,June,June,July,,
876,cosmos-sensation-mix,flower,5,March,April,May,June,May,July,,
876,cosmos-sensation-mix,flower,6,March,April,May,June,May,July,,
876,cosmos-sensation-mix,flower,7,February,March,April,May,April,June,,
876,cosmos-sensation-mix,flower,8,February,March,April,May,April,June,,
876,cosmos-sensation-mix,flower,9,January,February,March,April,March,May,,
876,cosmos-sensation-mix,flower,10,January,January,February,March,February,April,,
876,cosmos-sensation-mix,flower,11,January,January,January,February,January,March,,
876,cosmos-sensation-mix,flower,12,January,January,January,February,January,March,,
876,cosmos-sensation-mix,flower,13,January,January,January,February,January,March,,
877,sunflower-mammoth,flower,1,May,June,July,August,July,September,,
877,sunflower-mammoth,flower,2,April,May,June,July,June,August,,
877,sunflower-mammoth,flower,3,April,May,June,July,June,August,,
877,sunflower-mammoth,flower,4,March,April,June,June,June,July,,
877,sunflower-mammoth,flower,5,March,April,May,June,May,July,,
877,sunflower-mammoth,flower,6,March,April,May,June,May,July,,
877,sunflower-mammoth,flower,7,February,March,April,May,April,June,,
877,sunflower-mammoth,flower,8,February,March,April,May,April,June,,
877,sunflower-mammoth,flower,9,January,February,March,April,March,May,,
877,sunflower-mammoth,flower,10,January,January,February,March,February,April,,
877,sunflower-mammoth,flower,11,January,January,January,February,January,March,,
877,sunflower-mammoth,flower,12,January,January,January,February,January,March,,
877,sunflower-mammoth,flower,13,January,January,January,February,January,March,,
878,zinnia-state-fair-mix,flower,1,May,June,July,August,July,September,,
878,zinnia-state-fair-mix,flower,2,April,May,June,July,June,August,,
878,zinnia-state-fair-mix,flower,3,April,May,June,July,June,August,,
878,zinnia-state-fair-mix,flower,4,March,April,June,June,June,July,,
878,zinnia-state-fair-mix,flower,5,March,April,May,June,May,July,,
878,zinnia-state-fair-mix,flower,6,March,April,May,June,May,July,,
878,zinnia-state-fair-mix,flower,7,February,March,April,May,April,June,,
878,zinnia-state-fair-mix,flower,8,February,March,April,May,April,June,,
878,zinnia-state-fair-mix,flower,9,January,February,March,April,March,May,,
878,zinnia-state-fair-mix,flower,10,January,January,February,March,February,April,,
878,zinnia-state-fair-mix,flower,11,January,January,January,February,January,March,,
878,zinnia-state-fair-mix,flower,12,January,January,January,February,January,March,,
878,zinnia-state-fair-mix,flower,13,January,January,January,February,January,March,,
879,marigold-french-bonita-mix,flower,1,May,June,July,August,July,September,,
879,marigold-french-bonita-mix,flower,2,April,May,June,July,June,August,,
879,marigold-french-bonita-mix,flower,3,April,May,June,July,June,August,,
879,marigold-french-bonita-mix,flower,4,March,April,June,June,June,July,,
879,marigold-french-bonita-mix,flower,5,March,April,May,June,May,July,,
879,marigold-french-bonita-mix,flower,6,March,April,May,June,May,July,,
879,marigold-french-bonita-mix,flower,7,February,March,April,May,April,June,,
879,marigold-french-bonita-mix,flower,8,February,March,April,May,April,June,,
879,marigold-french-bonita-mix,flower,9,January,February,March,April,March,May,,
879,marigold-french-bonita-mix,flower,10,January,January,February,March,February,April,,
879,marigold-french-bonita-mix,flower,11,January,January,January,February,January,March,,
879,marigold-french-bonita-mix,flower,12,January,January,January,February,January,March,,
879,marigold-french-bonita-mix,flower,13,January,January,January,February,January,March,,
880,morning-glory-heavenly-blue,flower,1,May,June,July,August,July,September,,
880,morning-glory-heavenly-blue,flower,2,April,May,June,July,June,August,,
880,morning-glory-heavenly-blue,flower,3,April,May,June,July,June,August,,
880,morning-glory-heavenly-blue,flower,4,March,April,June,June,June,July,,
880,morning-glory-heavenly-blue,flower,5,March,April,May,June,May,July,,
880,morning-glory-heavenly-blue,flower,6,March,April,May,June,May,July,,
880,morning-glory-heavenly-blue,flower,7,February,March,April,May,April,June,,
880,morning-glory-heavenly-blue,flower,8,February,March,April,May,April,June,,
880,morning-glory-heavenly-blue,flower,9,January,February,March,April,March,May,,
880,morning-glory-heavenly-blue,flower,10,January,January,February,March,February,April,,
880,morning-glory-heavenly-blue,flower,11,January,January,January,February,January,March,,
880,morning-glory-heavenly-blue,flower,12,January,January,January,February,January,March,,
880,morning-glory-heavenly-blue,flower,13,January,January,January,February,January,March,,
882,marigold-african-crackerjack-mix,flower,1,May,June,July,August,July,September,,
882,marigold-african-crackerjack-mix,flower,2,April,May,June,July,June,August,,
882,marigold-african-crackerjack-mix,flower,3,April,May,June,July,June,August,,
882,marigold-african-crackerjack-mix,flower,4,March,April,June,June,June,July,,
882,marigold-african-crackerjack-mix,flower,5,March,April,May,June,May,July,,
882,marigold-african-crackerjack-mix,flower,6,March,April,May,June,May,July,,
882,marigold-african-crackerjack-mix,flower,7,February,March,April,May,April,June,,
882,marigold-african-crackerjack-mix,flower,8,February,March,April,May,April,June,,
882,marigold-african-crackerjack-mix,flower,9,January,February,March,April,March,May,,
882,marigold-african-crackerjack-mix,flower,10,January,January,February,March,February,April,,
882,marigold-african-crackerjack-mix,flower,11,January,January,January,February,January,March,,
882,marigold-african-crackerjack-mix,flower,12,January,January,January,February,January,March,,
882,marigold-african-crackerjack-mix,flower,13,January,January,January,February,January,March,,
883,nasturtium-alaska-mix,flower,1,May,June,July,August,July,September,,
883,nasturtium-alaska-mix,flower,2,April,May,June,July,June,August,,
883,nasturtium-alaska-mix,flower,3,April,May,June,July,June,August,,
883,nasturtium-alaska-mix,flower,4,March,April,June,June,June,July,,
883,nasturtium-alaska-mix,flower,5,March,April,May,June,May,July,,
883,nasturtium-alaska-mix,flower,6,March,April,May,June,May,July,,
883,nasturtium-alaska-mix,flower,7,February,March,April,May,April,June,,
883,nasturtium-alaska-mix,flower,8,February,March,April,May,April,June,,
883,nasturtium-alaska-mix,flower,9,January,February,March,April,March,May,,
883,nasturtium-alaska-mix,flower,10,January,January,February,March,February,April,,
883,nasturtium-alaska-mix,flower,11,January,January,January,February,January,March,,
883,nasturtium-alaska-mix,flower,12,January,January,January,February,January,March,,
883,nasturtium-alaska-mix,flower,13,January,January,January,February,January,March,,
884,impatiens-new-guinea-divine-mix,flower,1,May,June,July,August,July,September,,
884,impatiens-new-guinea-divine-mix,flower,2,April,May,June,July,June,August,,
884,impatiens-new-guinea-divine-mix,flower,3,April,May,June,July,June,August,,
884,impatiens-new-guinea-divine-mix,flower,4,March,April,June,June,June,July,,
884,impatiens-new-guinea-divine-mix,flower,5,March,April,May,June,May,July,,
884,impatiens-new-guinea-divine-mix,flower,6,March,April,May,June,May,July,,
884,impatiens-new-guinea-divine-mix,flower,7,February,March,April,May,April,June,,
884,impatiens-new-guinea-divine-mix,flower,8,February,March,April,May,April,June,,
884,impatiens-new-guinea-divine-mix,flower,9,January,February,March,April,March,May,,
884,impatiens-new-guinea-divine-mix,flower,10,January,January,February,March,February,April,,
884,impatiens-new-guinea-divine-mix,flower,11,January,January,January,February,January,March,,
884,impatiens-new-guinea-divine-mix,flower,12,January,January,January,February,January,March,,
884,impatiens-new-guinea-divine-mix,flower,13,January,January,January,February,January,March,,
885,sweet-pea-royal-mix,flower,1,May,June,July,August,July,September,,
885,sweet-pea-royal-mix,flower,2,April,May,June,July,June,August,,
885,sweet-pea-royal-mix,flower,3,April,May,June,July,June,August,,
885,sweet-pea-royal-mix,flower,4,March,April,June,June,June,July,,
885,sweet-pea-royal-mix,flower,5,March,April,May,June,May,July,,
885,sweet-pea-royal-mix,flower,6,March,April,May,June,May,July,,
885,sweet-pea-royal-mix,flower,7,February,March,April,May,April,June,,
885,sweet-pea-royal-mix,flower,8,February,March,April,May,April,June,,
885,sweet-pea-royal-mix,flower,9,January,February,March,April,March,May,,
885,sweet-pea-royal-mix,flower,10,January,January,February,March,February,April,,
885,sweet-pea-royal-mix,flower,11,January,January,January,February,January,March,,
885,sweet-pea-royal-mix,flower,12,January,January,January,February,January,March,,
885,sweet-pea-royal-mix,flower,13,January,January,January,February,January,March,,
886,salvia-victoria-blue,flower,1,May,June,July,August,July,September,,
886,salvia-victoria-blue,flower,2,April,May,June,July,June,August,,
886,salvia-victoria-blue,flower,3,April,May,June,July,June,August,,
886,salvia-victoria-blue,flower,4,March,April,June,June,June,July,,
886,salvia-victoria-blue,flower,5,March,April,May,June,May,July,,
886,salvia-victoria-blue,flower,6,March,April,May,June,May,July,,
886,salvia-victoria-blue,flower,7,February,March,April,May,April,June,,
886,salvia-victoria-blue,flower,8,February,March,April,May,April,June,,
886,salvia-victoria-blue,flower,9,January,February,March,April,March,May,,
886,salvia-victoria-blue,flower,10,January,January,February,March,February,April,,
886,salvia-victoria-blue,flower,11,January,January,January,February,January,March,,
886,salvia-victoria-blue,flower,12,January,January,January,February,January,March,,
886,salvia-victoria-blue,flower,13,January,January,January,February,January,March,,
887,dahlia-cafe-au-lait,flower,1,May,June,July,August,July,September,,
887,dahlia-cafe-au-lait,flower,2,April,May,June,July,June,August,,
887,dahlia-cafe-au-lait,flower,3,April,May,June,July,June,August,,
887,dahlia-cafe-au-lait,flower,4,March,April,June,June,June,July,,
887,dahlia-cafe-au-lait,flower,5,March,April,May,June,May,July,,
887,dahlia-cafe-au-lait,flower,6,March,April,May,June,May,July,,
887,dahlia-cafe-au-lait,flower,7,February,March,April,May,April,June,,
887,dahlia-cafe-au-lait,flower,8,February,March,April,May,April,June,,
887,dahlia-cafe-au-lait,flower,9,January,February,March,April,March,May,,
887,dahlia-cafe-au-lait,flower,10,January,January,February,March,February,April,,
887,dahlia-cafe-au-lait,flower,11,January,January,January,February,January,March,,
887,dahlia-cafe-au-lait,flower,12,January,January,January,February,January,March,,
887,dahlia-cafe-au-lait,flower,13,January,January,January,February,January,March,,
888,lavender-hidcote,flower,1,May,June,July,August,July,September,,
888,lavender-hidcote,flower,2,April,May,June,July,June,August,,
888,lavender-hidcote,flower,3,April,May,June,July,June,August,,
888,lavender-hidcote,flower,4,March,April,June,June,June,July,,
888,lavender-hidcote,flower,5,March,April,May,June,May,July,,
888,lavender-hidcote,flower,6,March,April,May,June,May,July,,
888,lavender-hidcote,flower,7,February,March,April,May,April,June,,
888,lavender-hidcote,flower,8,February,March,April,May,April,June,,
888,lavender-hidcote,flower,9,January,February,March,April,March,May,,
888,lavender-hidcote,flower,10,January,January,February,March,February,April,,
888,lavender-hidcote,flower,11,January,January,January,February,January,March,,
888,lavender-hidcote,flower,12,January,January,January,February,January,March,,
888,lavender-hidcote,flower,13,January,January,January,February,January,March,,
889,rose-knockout-pink,flower,1,May,June,July,August,July,September,,
889,rose-knockout-pink,flower,2,April,May,June,July,June,August,,
889,rose-knockout-pink,flower,3,April,May,June,July,June,August,,
889,rose-knockout-pink,flower,4,March,April,June,June,June,July,,
889,rose-knockout-pink,flower,5,March,April,May,June,May,July,,
889,rose-knockout-pink,flower,6,March,April,May,June,May,July,,
889,rose-knockout-pink,flower,7,February,March,April,May,April,June,,
889,rose-knockout-pink,flower,8,February,March,April,May,April,June,,
889,rose-knockout-pink,flower,9,January,February,March,April,March,May,,
889,rose-knockout-pink,flower,10,January,January,February,March,February,April,,
889,rose-knockout-pink,flower,11,January,January,January,February,January,March,,
889,rose-knockout-pink,flower,12,January,January,January,February,January,March,,
889,rose-knockout-pink,flower,13,January,January,January,February,January,March,,
890,phlox-drummond-mix,flower,1,May,June,July,August,July,September,,
890,phlox-drummond-mix,flower,2,April,May,June,July,June,August,,
890,phlox-drummond-mix,flower,3,April,May,June,July,June,August,,
890,phlox-drummond-mix,flower,4,March,April,June,June,June,July,,
890,phlox-drummond-mix,flower,5,March,April,May,June,May,July,,
890,phlox-drummond-mix,flower,6,March,April,May,June,May,July,,
890,phlox-drummond-mix,flower,7,February,March,April,May,April,June,,
890,phlox-drummond-mix,flower,8,February,March,April,May,April,June,,
890,phlox-drummond-mix,flower,9,January,February,March,April,March,May,,
890,phlox-drummond-mix,flower,10,January,January,February,March,February,April,,
890,phlox-drummond-mix,flower,11,January,January,January,February,January,March,,
890,phlox-drummond-mix,flower,12,January,January,January,February,January,March,,
890,phlox-drummond-mix,flower,13,January,January,January,February,January,March,,
891,hollyhock-chater-s-double-mix,flower,1,May,June,July,August,July,September,,
891,hollyhock-chater-s-double-mix,flower,2,April,May,June,July,June,August,,
891,hollyhock-chater-s-double-mix,flower,3,April,May,June,July,June,August,,
891,hollyhock-chater-s-double-mix,flower,4,March,April,June,June,June,July,,
891,hollyhock-chater-s-double-mix,flower,5,March,April,May,June,May,July,,
891,hollyhock-chater-s-double-mix,flower,6,March,April,May,June,May,July,,
891,hollyhock-chater-s-double-mix,flower,7,February,March,April,May,April,June,,
891,hollyhock-chater-s-double-mix,flower,8,February,March,April,May,April,June,,
891,hollyhock-chater-s-double-mix,flower,9,January,February,March,April,March,May,,
891,hollyhock-chater-s-double-mix,flower,10,January,January,February,March,February,April,,
891,hollyhock-chater-s-double-mix,flower,11,January,January,January,February,January,March,,
891,hollyhock-chater-s-double-mix,flower,12,January,January,January,February,January,March,,
891,hollyhock-chater-s-double-mix,flower,13,January,January,January,February,January,March,,
892,sunflower-russian-mammoth,flower,1,May,June,July,August,July,September,,
892,sunflower-russian-mammoth,flower,2,April,May,June,July,June,August,,
892,sunflower-russian-mammoth,flower,3,April,May,June,July,June,August,,
892,sunflower-russian-mammoth,flower,4,March,April,June,June,June,July,,
892,sunflower-russian-mammoth,flower,5,March,April,May,June,May,July,,
892,sunflower-russian-mammoth,flower,6,March,April,May,June,May,July,,
892,sunflower-russian-mammoth,flower,7,February,March,April,May,April,June,,
892,sunflower-russian-mammoth,flower,8,February,March,April,May,April,June,,
892,sunflower-russian-mammoth,flower,9,January,February,March,April,March,May,,
892,sunflower-russian-mammoth,flower,10,January,January,February,March,February,April,,
892,sunflower-russian-mammoth,flower,11,January,January,January,February,January,March,,
892,sunflower-russian-mammoth,flower,12,January,January,January,February,January,March,,
892,sunflower-russian-mammoth,flower,13,January,January,January,February,January,March,,
894,marigold-african-orange-jubilee,flower,1,May,June,July,August,July,September,,
894,marigold-african-orange-jubilee,flower,2,April,May,June,July,June,August,,
894,marigold-african-orange-jubilee,flower,3,April,May,June,July,June,August,,
894,marigold-african-orange-jubilee,flower,4,March,April,June,June,June,July,,
894,marigold-african-orange-jubilee,flower,5,March,April,May,June,May,July,,
894,marigold-african-orange-jubilee,flower,6,March,April,May,June,May,July,,
894,marigold-african-orange-jubilee,flower,7,February,March,April,May,April,June,,
894,marigold-african-orange-jubilee,flower,8,February,March,April,May,April,June,,
894,marigold-african-orange-jubilee,flower,9,January,February,March,April,March,May,,
894,marigold-african-orange-jubilee,flower,10,January,January,February,March,February,April,,
894,marigold-african-orange-jubilee,flower,11,January,January,January,February,January,March,,
894,marigold-african-orange-jubilee,flower,12,January,January,January,February,January,March,,
894,marigold-african-orange-jubilee,flower,13,January,January,January,February,January,March,,
895,sweet-alyssum-snow-princess,flower,1,May,June,July,August,July,September,,
895,sweet-alyssum-snow-princess,flower,2,April,May,June,July,June,August,,
895,sweet-alyssum-snow-princess,flower,3,April,May,June,July,June,August,,
895,sweet-alyssum-snow-princess,flower,4,March,April,June,June,June,July,,
895,sweet-alyssum-snow-princess,flower,5,March,April,May,June,May,July,,
895,sweet-alyssum-snow-princess,flower,6,March,April,May,June,May,July,,
895,sweet-alyssum-snow-princess,flower,7,February,March,April,May,April,June,,
895,sweet-alyssum-snow-princess,flower,8,February,March,April,May,April,June,,
895,sweet-alyssum-snow-princess,flower,9,January,February,March,April,March,May,,
895,sweet-alyssum-snow-princess,flower,10,January,January,February,March,February,April,,
895,sweet-alyssum-snow-princess,flower,11,January,January,January,February,January,March,,
895,sweet-alyssum-snow-princess,flower,12,January,January,January,February,January,March,,
895,sweet-alyssum-snow-princess,flower,13,January,January,January,February,January,March,,
896,zinnia-profusion-red,flower,1,May,June,July,August,July,September,,
896,zinnia-profusion-red,flower,2,April,May,June,July,June,August,,
896,zinnia-profusion-red,flower,3,April,May,June,July,June,August,,
896,zinnia-profusion-red,flower,4,March,April,June,June,June,July,,
896,zinnia-profusion-red,flower,5,March,April,May,June,May,July,,
896,zinnia-profusion-red,flower,6,March,April,May,June,May,July,,
896,zinnia-profusion-red,flower,7,February,March,April,May,April,June,,
896,zinnia-profusion-red,flower,8,February,March,April,May,April,June,,
896,zinnia-profusion-red,flower,9,January,February,March,April,March,May,,
896,zinnia-profusion-red,flower,10,January,January,February,March,February,April,,
896,zinnia-profusion-red,flower,11,January,January,January,February,January,March,,
896,zinnia-profusion-red,flower,12,January,January,January,February,January,March,,
896,zinnia-profusion-red,flower,13,January,January,January,February,January,March,,
897,garden-phlox-david,flower,1,May,June,July,August,July,September,,
897,garden-phlox-david,flower,2,April,May,June,July,June,August,,
897,garden-phlox-david,flower,3,April,May,June,July,June,August,,
897,garden-phlox-david,flower,4,March,April,June,June,June,July,,
897,garden-phlox-david,flower,5,March,April,May,June,May,July,,
897,garden-phlox-david,flower,6,March,April,May,June,May,July,,
897,garden-phlox-david,flower,7,February,March,April,May,April,June,,
897,garden-phlox-david,flower,8,February,March,April,May,April,June,,
897,garden-phlox-david,flower,9,January,February,March,April,March,May,,
897,garden-phlox-david,flower,10,January,January,February,March,February,April,,
897,garden-phlox-david,flower,11,January,January,January,February,January,March,,
